"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.12.2022","109.069","110.188","110.247","108.612","13,83M","-1,02%"
"06.12.2022","110.189","109.403","110.663","109.217","13,44M","0,72%"
"05.12.2022","109.401","111.922","112.150","109.270","12,31M","-2,25%"
"02.12.2022","111.924","110.926","113.761","109.963","15,98M","0,90%"
"01.12.2022","110.926","112.479","112.479","110.548","15,19M","-1,39%"
"30.11.2022","112.486","110.910","112.486","110.202","19,70M","1,42%"
"29.11.2022","110.910","108.784","112.187","108.784","14,72M","1,96%"
"28.11.2022","108.782","108.977","109.476","108.378","11,49M","-0,18%"
"25.11.2022","108.977","111.831","112.025","108.552","12,31M","-2,55%"
"24.11.2022","111.831","108.846","112.612","108.846","10,30M","2,75%"
"23.11.2022","108.841","109.036","109.285","107.902","13,20M","-0,18%"
"22.11.2022","109.037","109.750","110.224","107.867","15,06M","-0,65%"
"21.11.2022","109.748","108.868","110.235","107.957","16,65M","0,81%"
"18.11.2022","108.870","109.706","111.585","108.512","18,77M","-0,76%"
"17.11.2022","109.703","110.241","110.242","107.245","23,12M","-0,49%"
"16.11.2022","110.243","113.166","113.473","109.512","18,35M","-2,58%"
"14.11.2022","113.161","112.256","114.322","111.930","15,08M","0,81%"
"11.11.2022","112.253","109.775","113.010","109.408","25,04M","2,26%"
"10.11.2022","109.775","113.579","113.579","108.516","26,03M","-3,35%"
"09.11.2022","113.580","116.153","116.183","113.110","20,53M","-2,22%"
"08.11.2022","116.160","115.340","117.072","114.688","14,24M","0,71%"
"07.11.2022","115.342","118.148","118.240","115.221","15,22M","-2,38%"
"04.11.2022","118.155","116.907","120.039","116.904","16,21M","1,08%"
"03.11.2022","116.896","116.927","117.373","114.485","15,63M","-0,03%"
"01.11.2022","116.929","116.037","118.261","115.547","17,97M","0,77%"
"31.10.2022","116.037","114.533","116.763","112.113","21,64M","1,31%"
"28.10.2022","114.539","114.636","114.712","113.336","14,39M","-0,09%"
"27.10.2022","114.641","112.766","116.236","112.765","15,53M","1,66%"
"26.10.2022","112.764","114.626","114.626","112.577","16,09M","-1,62%"
"25.10.2022","114.626","116.016","116.203","114.626","14,73M","-1,20%"
"24.10.2022","116.013","119.922","119.924","115.793","13,28M","-3,27%"
"21.10.2022","119.929","117.170","120.752","116.736","18,58M","2,35%"
"20.10.2022","117.171","116.276","117.367","116.276","16,92M","0,77%"
"19.10.2022","116.274","115.744","116.459","115.264","12,73M","0,46%"
"18.10.2022","115.743","113.627","115.795","113.627","14,74M","1,87%"
"17.10.2022","113.624","112.107","114.406","112.090","11,63M","1,38%"
"14.10.2022","112.072","114.301","114.712","111.631","13,10M","-1,95%"
"13.10.2022","114.300","114.819","115.367","112.690","14,58M","-0,46%"
"11.10.2022","114.827","115.928","115.928","114.297","13,14M","-0,96%"
"10.10.2022","115.941","116.377","116.841","115.261","11,43M","-0,37%"
"07.10.2022","116.375","117.560","117.960","115.924","13,62M","-1,01%"
"06.10.2022","117.561","117.200","118.382","117.144","14,52M","0,31%"
"05.10.2022","117.198","116.231","117.514","115.906","13,56M","0,83%"
"04.10.2022","116.230","116.147","118.280","115.837","16,08M","0,08%"
"03.10.2022","116.134","110.048","116.134","110.048","20,98M","5,54%"
"30.09.2022","110.037","107.664","110.502","107.315","16,54M","2,20%"
"29.09.2022","107.664","108.449","108.449","106.244","14,59M","-0,73%"
"28.09.2022","108.451","108.377","108.970","107.914","13,54M","0,07%"
"27.09.2022","108.376","109.122","110.161","108.120","14,52M","-0,68%"
"26.09.2022","109.114","111.713","111.713","109.022","13,13M","-2,33%"
"23.09.2022","111.716","114.070","114.070","110.732","13,54M","-2,06%"
"22.09.2022","114.070","111.942","114.392","111.819","15,68M","1,91%"
"21.09.2022","111.936","112.517","113.294","111.380","14,73M","-0,52%"
"20.09.2022","112.517","111.824","112.544","111.393","12,57M","0,62%"
"19.09.2022","111.824","109.283","111.976","108.508","12,59M","2,33%"
"16.09.2022","109.280","109.951","109.952","108.489","18,84M","-0,61%"
"15.09.2022","109.954","110.547","111.100","109.524","11,62M","-0,54%"
