date,Último,Abertura,Máxima,Mínima,Vol.,Var%,value
2000-12-27,15186,14805,15223,14805,"239,98M","2,65%",15186
2000-12-28,15259,15188,15269,15132,"324,26M","0,48%",15259
2001-01-02,15425,15242,15621,15174,"230,63M","1,09%",15425
2001-01-03,16599,15425,16599,15251,"381,20M","7,61%",16599
2001-01-04,16675,16597,16933,16587,"331,23M","0,46%",16675
2001-01-05,1641,16679,16888,1638,"199,69M","-1,59%",1641
2001-01-08,16562,16398,16623,16226,"160,70M","0,93%",16562
2001-01-09,16976,16566,17096,16566,"346,48M","2,50%",16976
2001-01-10,16919,16964,17093,16701,"256,51M","-0,34%",16919
2001-01-11,17024,16908,17045,16797,"201,85M","0,62%",17024
2001-01-12,1685,17034,17212,16821,"212,47M","-1,02%",1685
2001-01-15,16963,16858,17038,16858,"955,31M","0,67%",16963
2001-01-16,16721,16973,17035,16662,"214,89M","-1,43%",16721
2001-01-17,17191,16748,17255,16745,"401,27M","2,81%",17191
2001-01-18,17521,17204,17642,17151,"652,57M","1,92%",17521
2001-01-19,1753,17525,17816,17512,"290,07M","0,05%",1753
2001-01-22,17392,17548,17578,17297,"152,63M","-0,79%",17392
2001-01-23,17832,17381,17864,17376,"325,48M","2,53%",17832
2001-01-24,17772,17849,18022,17698,"361,24M","-0,34%",17772
2001-01-26,17889,17776,17933,17591,"260,42M","0,66%",17889
2001-01-29,17883,17906,18023,17704,"198,93M","-0,03%",17883
2001-01-30,17723,17882,17898,17668,"285,83M","-0,90%",17723
2001-01-31,17673,17725,17921,17637,"213,72M","-0,28%",17673
2001-02-01,17039,1767,17673,16977,"319,39M","-3,59%",17039
2001-02-02,16915,17027,17206,16781,"199,36M","-0,73%",16915
2001-02-05,16731,16914,16941,16539,"137,05M","-1,09%",16731
2001-02-06,17007,16734,17017,16734,"149,52M","1,65%",17007
2001-02-07,16812,17003,17003,1663,"176,16M","-1,14%",16812
2001-02-08,17243,16814,17279,16814,"205,56M","2,56%",17243
2001-02-09,17138,17257,1727,1705,"161,35M","-0,61%",17138
2001-02-12,16917,17163,17234,16883,"134,71M","-1,29%",16917
2001-02-13,17096,16922,17174,16883,"146,75M","1,06%",17096
2001-02-14,1712,17078,17286,1689,"239,22M","0,14%",1712
2001-02-15,16937,17121,17262,16922,"153,59M","-1,07%",16937
2001-02-16,16259,16934,1695,161,"252,53M","-4,00%",16259
2001-02-19,16061,16263,16392,16023,"150,63M","-1,22%",16061
2001-02-20,15911,16066,16242,15783,"213,82M","-0,94%",15911
2001-02-21,15594,15909,15909,15568,"238,95M","-1,99%",15594
2001-02-22,1591,15604,15914,15558,"205,35M","2,03%",1591
2001-02-23,16158,1592,16223,15831,"170,63M","1,55%",16158
2001-02-28,15891,16158,16274,15891,"188,36M","-1,65%",15891
2001-03-01,16417,15891,16439,15875,"153,37M","3,30%",16417
2001-03-02,16581,16423,16723,16233,"184,54M","1,00%",16581
2001-03-05,16537,1662,16737,16471,"121,32M","-0,26%",16537
2001-03-06,16324,16573,16813,16279,"199,21M","-1,29%",16324
2001-03-07,16395,16329,1643,16223,"179,00M","0,43%",16395
2001-03-08,16227,16401,16531,16096,"218,55M","-1,03%",16227
2001-03-09,16123,16233,16248,16018,"161,62M","-0,64%",16123
2001-03-12,15527,16125,16143,15523,"163,54M","-3,70%",15527
2001-03-13,15584,15536,15768,15444,"228,08M","0,37%",15584
2001-03-14,15245,15583,15583,1507,"228,52M","-2,18%",15245
2001-03-15,15061,15252,15482,14977,"202,50M","-1,21%",15061
2001-03-16,15237,15076,15356,15047,"143,29M","1,17%",15237
2001-03-19,14836,15249,15378,14802,"154,66M","-2,63%",14836
2001-03-20,14903,14854,15077,14854,"228,30M","0,45%",14903
2001-03-21,14853,14914,15198,14755,"179,48M","-0,34%",14853
2001-03-22,14067,14847,14847,13761,"332,42M","-5,29%",14067
2001-03-23,14435,1407,14435,13855,"269,82M","2,61%",14435
2001-03-26,14712,14443,14912,14443,"219,81M","1,92%",14712
2001-03-27,14835,14733,14951,14594,"217,41M","0,84%",14835
2001-03-28,14632,14846,14852,14574,"159,93M","-1,37%",14632
2001-03-29,14282,14647,14713,14226,"250,41M","-2,39%",14282
2001-03-30,14438,14292,14438,13922,"256,61M","1,09%",14438
2001-04-02,13981,14441,14482,13981,"154,24M","-3,17%",13981
2001-04-03,13737,13988,14001,13664,"171,49M","-1,75%",13737
2001-04-04,13855,1374,14135,1374,"253,28M","0,86%",13855
2001-04-05,14443,13865,14482,13865,"271,47M","4,24%",14443
2001-04-06,14485,14428,14702,14371,"226,03M","0,29%",14485
2001-04-09,14719,14489,14719,14446,"226,88M","1,62%",14719
2001-04-10,15048,14725,15097,14725,"264,00M","2,23%",15048
2001-04-11,14819,15057,15267,14724,"292,05M","-1,52%",14819
2001-04-12,14969,14811,14969,1449,"163,26M","1,02%",14969
2001-04-16,14445,14974,14976,14385,"175,43M","-3,51%",14445
2001-04-17,14337,14443,14555,14223,"208,53M","-0,75%",14337
2001-04-18,14955,14345,15151,14323,"318,38M","4,31%",14955
2001-04-19,14431,14956,15017,1442,"239,25M","-3,51%",14431
2001-04-20,13696,14408,14408,13618,"308,75M","-5,09%",13696
2001-04-23,13893,13734,13893,13325,"187,58M","1,43%",13893
2001-04-24,14068,13894,14207,13894,"162,74M","1,26%",14068
2001-04-25,14163,14062,14223,13785,"272,85M","0,67%",14163
